,pop_density_10,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,pop_00,pop_10,pop_weighted_10,freq,00-15-total,10-15-total,10-15-patent-per-person,10-15-%-total,00-15gr-%,10-15gr-%
0,q1,2047.0,2243.0,2369.0,2343.0,2381.0,2094.0,2272.0,1877.0,1652.0,1496.0,1828.0,1773.0,1768.0,1962.0,1959.0,1766.0,5417064.0,6355049.0,64539.89366339818,37,31830.0,11056.0,17.39719080057447,,-0.009186184598825808,-0.005734390398405842
1,q2,700.0,668.0,596.0,669.0,564.0,537.0,623.0,493.0,476.0,533.0,742.0,638.0,743.0,845.0,973.0,995.0,5684779.0,6379048.0,58820.67620077585,36,10795.0,4936.0,7.737831726615005,,0.02222221548927794,0.0501141952798998
2,q3,2552.0,2761.0,2804.0,2805.0,2893.0,2518.0,2961.0,2679.0,2667.0,2877.0,3578.0,3645.0,3812.0,4081.0,4388.0,4322.0,9136670.0,10424671.0,77499.16304754412,37,51343.0,23826.0,22.85539754683865,,0.03347566719860584,0.03198663063701335
3,q4,1165.0,1069.0,1109.0,1117.0,1039.0,890.0,1026.0,896.0,843.0,874.0,1218.0,1166.0,1346.0,1516.0,1605.0,1638.0,8161029.0,9084108.0,59462.577101971794,36,18517.0,8489.0,9.34489109992968,,0.021525584681998833,0.050617026672307386
4,q5,2111.0,2182.0,2215.0,2116.0,1885.0,1743.0,1939.0,1950.0,1734.0,1883.0,2438.0,2343.0,2378.0,2712.0,2991.0,2925.0,11558057.0,13256711.0,68438.16853152616,37,35545.0,15787.0,11.90868534435125,,0.020592452528497507,0.030818082254335577
5,q6,2253.0,2438.0,2306.0,2330.0,2117.0,1864.0,2104.0,1926.0,1714.0,1839.0,2280.0,2285.0,2492.0,2771.0,2869.0,2800.0,11290888.0,12730285.0,61532.222406955196,36,36388.0,15497.0,12.173333118622246,,0.01367748985233641,0.03483362227377729
6,q7,4759.0,4531.0,4634.0,4727.0,4465.0,4039.0,4696.0,4227.0,4024.0,4104.0,5598.0,5899.0,6875.0,7439.0,7845.0,7674.0,21439348.0,25186137.0,77755.67519977453,36,85536.0,41330.0,16.40982100589701,,0.030312883865092122,0.053977848669001904
7,q8,5920.0,6313.0,6642.0,6732.0,6437.0,5361.0,6315.0,5636.0,5292.0,5493.0,7178.0,7124.0,7892.0,8308.0,8949.0,8599.0,18548284.0,20237897.0,81861.9994562677,37,108191.0,48050.0,23.74258550678462,,0.02360615848725578,0.030561899977323836
8,q9,12113.0,12344.0,12331.0,12792.0,11980.0,10374.0,12364.0,10862.0,10968.0,11641.0,15021.0,15108.0,16435.0,17409.0,18679.0,18102.0,28056641.0,31238630.0,100537.03227282716,36,218523.0,100754.0,32.25301493695466,,0.02542683298565418,0.03158405111253715
9,d10,46599.0,48202.0,47358.0,47595.0,46004.0,41403.0,51151.0,45193.0,44650.0,48057.0,63219.0,63892.0,72168.0,80970.0,88374.0,86355.0,113616822.0,123259975.0,216604.28347682842,37,921190.0,454978.0,36.91206330359876,,0.039308384023147847,0.05335148318291383
